[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/node/sdn-udp-client.exp5438
[10:38:25 - Thread-0] [MspMote.java:235] [INFO] - Loading firmware from: /home/mkulkarni/usdn/examples/sdn/controller/sdn-controller.exp5438
[10:38:26 - Thread-0] [Visualizer.java:256] [INFO] - Registered external visualizer: org.contikios.cooja.plugins.skins.DGRMVisualizerSkin
[10:38:26 - Thread-0] [TimeLine.java:567] [INFO] - Zoom level: 500.0 microseconds/pixel 
[10:38:28 - Thread-1] [Simulation.java:253] [INFO] - Simulation main loop started, system time: 1605969508751
[10:39:25 - Thread-1] [Simulation.java:312] [INFO] - Simulation main loop stopped, system time: 1605969565241	Duration: 56490 ms	Simulated time 121892 ms	Ratio 2.1577624358293503
